track,start,horses,uid
Turf Paradise,2017-02-21 23:18:00,"{u'Miss Angus Khan': {'odds': u'SP', 'uid': u'3357918031'}, u'Market Kitten': {'odds': u'SP', 'uid': u'3357917926'}, u'C B Miss': {'odds': u'SP', 'uid': u'3357917976'}, u'Flashy Gold': {'odds': u'SP', 'uid': u'3357918010'}, u'Smokin Reality': {'odds': u'SP', 'uid': u'3357918030'}, u""She's In The Game"": {'odds': u'SP', 'uid': u'3357917989'}, u'Miss Amador': {'odds': u'SP', 'uid': u'3357918007'}, u'Djibouti': {'odds': u'SP', 'uid': u'3357918013'}, u'Siduri': {'odds': u'SP', 'uid': u'3357917899'}, u'Tickle Me Pink': {'odds': u'SP', 'uid': u'3357917960'}, u'Charlie My Love': {'odds': u'SP', 'uid': u'3357917950'}, u'Gold Lass': {'odds': u'SP', 'uid': u'3357918000'}}",5197804
Sunland Park,2017-02-21 20:55:00,"{u'Improvise': {'odds': u'SP', 'uid': u'3357917845'}, u""Devil's Wildcat"": {'odds': u'SP', 'uid': u'3357917946'}, u'Tizaberry': {'odds': u'SP', 'uid': u'3357917863'}, u'Ready And Set': {'odds': u'SP', 'uid': u'3357917833'}, u'U Owe Me Loot': {'odds': u'SP', 'uid': u'3357917853'}, u'Spirit Of Joy': {'odds': u'SP', 'uid': u'3357917914'}, u'Misscharlypotatoes': {'odds': u'SP', 'uid': u'3357917873'}, u""Big A's Darlin"": {'odds': u'SP', 'uid': u'3357917892'}}",5197789
Sunland Park,2017-02-21 21:45:00,"{u'Devious Chuchu': {'odds': u'SP', 'uid': u'3357917916'}, u'Doms Thunder': {'odds': u'SP', 'uid': u'3357917875'}, u'Rascal Who': {'odds': u'SP', 'uid': u'3357917897'}, u'Kiss My Hennessy': {'odds': u'SP', 'uid': u'3357917945'}, u'Casey Jones Who': {'odds': u'SP', 'uid': u'3357917846'}, u""Tom's Hat"": {'odds': u'SP', 'uid': u'3357917864'}, u'Dodson': {'odds': u'SP', 'uid': u'3357917855'}, u'Somethin Hot': {'odds': u'SP', 'uid': u'3357917836'}}",5197791
Sunland Park,2017-02-21 22:11:00,"{u'Ignore The Danger': {'odds': u'SP', 'uid': u'3357917980'}, u'Red Head Red': {'odds': u'SP', 'uid': u'3357917901'}, u""She's All Lady"": {'odds': u'SP', 'uid': u'3357917857'}, u""K B's Girl"": {'odds': u'SP', 'uid': u'3357917848'}, u'Affirmed Tower': {'odds': u'SP', 'uid': u'3357917965'}, u'Thrilla Attila': {'odds': u'SP', 'uid': u'3357917951'}, u'Little Loretta': {'odds': u'SP', 'uid': u'3357917878'}, u""Rosy O' Fox"": {'odds': u'SP', 'uid': u'3357917866'}, u""Serena's Storm"": {'odds': u'SP', 'uid': u'3357917837'}, u""Charlie's Moves"": {'odds': u'SP', 'uid': u'3357917928'}}",5197792
Sunland Park,2017-02-21 20:30:00,"{u'Tiza Roll': {'odds': u'SP', 'uid': u'3357917834'}, u'Gospel Jewel': {'odds': u'SP', 'uid': u'3357917869'}, u'Cold Chime': {'odds': u'SP', 'uid': u'3357917907'}, u'Moosewood': {'odds': u'SP', 'uid': u'3357917851'}, u'Silvers Wild': {'odds': u'SP', 'uid': u'3357917939'}, u'Talent Risk': {'odds': u'SP', 'uid': u'3357917844'}, u'Yet Another Wain': {'odds': u'SP', 'uid': u'3357917862'}, u'Forgotaboutme': {'odds': u'SP', 'uid': u'3357917884'}}",5197788
Sunland Park,2017-02-21 23:03:00,"{u'Bridled Passion': {'odds': u'SP', 'uid': u'3357917940'}, u'Shango': {'odds': u'SP', 'uid': u'3357917958'}, u'Wish For Luck': {'odds': u'SP', 'uid': u'3357917972'}, u'Glorias Girl': {'odds': u'SP', 'uid': u'3357917868'}, u'Young Moon': {'odds': u'SP', 'uid': u'3357917882'}, u'Motionista': {'odds': u'SP', 'uid': u'3357917859'}, u'Flashy N Fabulous': {'odds': u'SP', 'uid': u'3357917850'}, u'Stunner': {'odds': u'SP', 'uid': u'3357918002'}, u'Grey Grasshopper': {'odds': u'SP', 'uid': u'3357917985'}, u'Atlantra Brown': {'odds': u'SP', 'uid': u'3357917994'}, u'Gospel Key Purr': {'odds': u'SP', 'uid': u'3357917906'}, u'Volleyball Red': {'odds': u'SP', 'uid': u'3357917839'}}",5197794
Turf Paradise,2017-02-21 22:49:00,"{u'Callingahardten': {'odds': u'SP', 'uid': u'3357917998'}, u'Thunder Basin': {'odds': u'SP', 'uid': u'3357917962'}, u'Frat Boy': {'odds': u'SP', 'uid': u'3357917886'}, u'Sahara Hero': {'odds': u'SP', 'uid': u'3357917944'}, u'G Faikir': {'odds': u'SP', 'uid': u'3357917915'}, u'Delta Court': {'odds': u'SP', 'uid': u'3357918006'}, u'Scorcher': {'odds': u'SP', 'uid': u'3357917978'}, u'Ino Thepath': {'odds': u'SP', 'uid': u'3357917988'}}",5197803
Turf Paradise,2017-02-21 21:47:00,"{u'Down Low Mama': {'odds': u'SP', 'uid': u'3357917942'}, u'Summer Harbor': {'odds': u'SP', 'uid': u'3357918009'}, u'One Simple Rule': {'odds': u'SP', 'uid': u'3357917970'}, u'Letthegoodtimesrol': {'odds': u'SP', 'uid': u'3357917912'}, u'Legal Affair': {'odds': u'SP', 'uid': u'3357917883'}, u'Crystalngold': {'odds': u'SP', 'uid': u'3357917957'}, u'Flowinwiththebreez': {'odds': u'SP', 'uid': u'3357917983'}, u'Dream Broker': {'odds': u'SP', 'uid': u'3357917995'}, u'Miss The Traffic': {'odds': u'SP', 'uid': u'3357918011'}, u'Princess Paca': {'odds': u'SP', 'uid': u'3357918005'}}",5197801
Turf Paradise,2017-02-21 19:55:00,"{u'Royal Kingdom': {'odds': u'SP', 'uid': u'3357917871'}, u'Champion Risk': {'odds': u'SP', 'uid': u'3357917891'}, u'Key Affair': {'odds': u'SP', 'uid': u'3357917947'}, u'Yuma Thurman': {'odds': u'SP', 'uid': u'3357917923'}, u""Cee's Joy"": {'odds': u'SP', 'uid': u'3357917974'}, u'Wild Fibs': {'odds': u'SP', 'uid': u'3357917961'}}",5197797
Turf Paradise,2017-02-21 21:19:00,"{u'Shock The Clock': {'odds': u'SP', 'uid': u'3357917904'}, u'Thunder': {'odds': u'SP', 'uid': u'3357917880'}, u'Mystorynmstikntoit': {'odds': u'SP', 'uid': u'3357917954'}, u'Rebellious Diana': {'odds': u'SP', 'uid': u'3357917990'}, u'Runaway Cal': {'odds': u'SP', 'uid': u'3357917967'}, u'Da Jenius': {'odds': u'SP', 'uid': u'3357918001'}, u'La Swift': {'odds': u'SP', 'uid': u'3357917979'}, u'Evening Concerto': {'odds': u'SP', 'uid': u'3357917937'}}",5197800
